meal_name,carb,meat,vege,fruit,type,vegan,allergy,time
Avocado Toast,bread,None,None,avocado,toast,yes,None,Breakfast
Avocado Toast,bread,None,None,avocado,toast,no,None,Breakfast
Avocado Toast,bread,None,None,avocado,toast,yes,seafood,Breakfast
Avocado Toast,bread,None,None,avocado,toast,no,seafood,Breakfast
Avocado Toast,bread,None,None,avocado,toast,yes,lactose,Breakfast
Avocado Toast,bread,None,None,avocado,toast,no,lactose,Breakfast
Avocado Toast,bread,None,None,avocado,toast,yes,egg,Breakfast
Avocado Toast,bread,None,None,avocado,toast,no,egg,Breakfast
Avocado Toast,bread,None,None,avocado,toast,yes,bean/nuts,Breakfast
Avocado Toast,bread,None,None,avocado,toast,no,bean/nuts,Breakfast
Blueberry Toast,bread,None,None,blueberry,toast,yes,None,Breakfast
Blueberry Toast,bread,None,None,blueberry,toast,no,None,Breakfast
Blueberry Toast,bread,None,None,blueberry,toast,yes,seafood,Breakfast
Blueberry Toast,bread,None,None,blueberry,toast,no,seafood,Breakfast
Blueberry Toast,bread,None,None,blueberry,toast,yes,lactose,Breakfast
Blueberry Toast,bread,None,None,blueberry,toast,no,lactose,Breakfast
Blueberry Toast,bread,None,None,blueberry,toast,yes,egg,Breakfast
Blueberry Toast,bread,None,None,blueberry,toast,no,egg,Breakfast
Blueberry Toast,bread,None,None,blueberry,toast,yes,bean/nuts,Breakfast
Blueberry Toast,bread,None,None,blueberry,toast,no,bean/nuts,Breakfast
Blackberry Toast,bread,None,None,blackberry,toast,yes,None,Breakfast
Blackberry Toast,bread,None,None,blackberry,toast,no,None,Breakfast
Blackberry Toast,bread,None,None,blackberry,toast,yes,seafood,Breakfast
Blackberry Toast,bread,None,None,blackberry,toast,no,seafood,Breakfast
Blackberry Toast,bread,None,None,blackberry,toast,yes,lactose,Breakfast
Blackberry Toast,bread,None,None,blackberry,toast,no,lactose,Breakfast
Blackberry Toast,bread,None,None,blackberry,toast,yes,egg,Breakfast
Blackberry Toast,bread,None,None,blackberry,toast,no,egg,Breakfast
Blackberry Toast,bread,None,None,blackberry,toast,yes,bean/nuts,Breakfast
Blackberry Toast,bread,None,None,blackberry,toast,no,bean/nuts,Breakfast
Strawberry Toast,bread,None,None,strawberry,toast,yes,None,Breakfast
Strawberry Toast,bread,None,None,strawberry,toast,no,None,Breakfast
Strawberry Toast,bread,None,None,strawberry,toast,yes,seafood,Breakfast
Strawberry Toast,bread,None,None,strawberry,toast,no,seafood,Breakfast
Strawberry Toast,bread,None,None,strawberry,toast,yes,lactose,Breakfast
Strawberry Toast,bread,None,None,strawberry,toast,no,lactose,Breakfast
Strawberry Toast,bread,None,None,strawberry,toast,yes,egg,Breakfast
Strawberry Toast,bread,None,None,strawberry,toast,no,egg,Breakfast
Strawberry Toast,bread,None,None,strawberry,toast,yes,bean/nuts,Breakfast
Strawberry Toast,bread,None,None,strawberry,toast,no,bean/nuts,Breakfast
Apple Toast,bread,None,None,apple,toast,yes,None,Breakfast
Apple Toast,bread,None,None,apple,toast,no,None,Breakfast
Apple Toast,bread,None,None,apple,toast,yes,seafood,Breakfast
Apple Toast,bread,None,None,apple,toast,no,seafood,Breakfast
Apple Toast,bread,None,None,apple,toast,yes,lactose,Breakfast
Apple Toast,bread,None,None,apple,toast,no,lactose,Breakfast
Apple Toast,bread,None,None,apple,toast,yes,egg,Breakfast
Apple Toast,bread,None,None,apple,toast,no,egg,Breakfast
Apple Toast,bread,None,None,apple,toast,yes,bean/nuts,Breakfast
Apple Toast,bread,None,None,apple,toast,no,bean/nuts,Breakfast
Banana Toast,bread,None,None,banana,toast,yes,None,Breakfast
Banana Toast,bread,None,None,banana,toast,no,None,Breakfast
Banana Toast,bread,None,None,banana,toast,yes,seafood,Breakfast
Banana Toast,bread,None,None,banana,toast,no,seafood,Breakfast
Banana Toast,bread,None,None,banana,toast,yes,lactose,Breakfast
Banana Toast,bread,None,None,banana,toast,no,lactose,Breakfast
Banana Toast,bread,None,None,banana,toast,yes,egg,Breakfast
Banana Toast,bread,None,None,banana,toast,no,egg,Breakfast
Banana Toast,bread,None,None,banana,toast,yes,bean/nuts,Breakfast
Banana Toast,bread,None,None,banana,toast,no,bean/nuts,Breakfast
French Toast,bread,egg,None,None,toast,no,None,Breakfast
French Toast,bread,egg,None,None,toast,no,lactose,Breakfast
French Toast,bread,egg,None,None,toast,no,bean/nuts,Breakfast
French Toast,bread,egg,None,None,toast,no,seafood,Breakfast
Beef Sandwich,bread,beef,lettuce,None,toast,no,None,Breakfast
Beef Sandwich,bread,beef,lettuce,None,toast,no,seafood,Breakfast
Beef Sandwich,bread,beef,lettuce,None,toast,no,lactose,Breakfast
Beef Sandwich,bread,beef,lettuce,None,toast,no,egg,Breakfast
Beef Sandwich,bread,beef,lettuce,None,toast,no,bean/nuts,Breakfast
Chicken Sandwish,bread,chicken,lettuce,None,toast,no,None,Breakfast
Chicken Sandwish,bread,chicken,lettuce,None,toast,no,lactose,Breakfast
Chicken Sandwish,bread,chicken,lettuce,None,toast,no,egg,Breakfast
Chicken Sandwish,bread,chicken,lettuce,None,toast,no,bean/nuts,Breakfast
Chicken Sandwish,bread,chicken,lettuce,None,toast,no,seafood,Breakfast
Tuna Sandwish,bread,tuna,lettuce,None,toast,no,None,Breakfast
Tuna Sandwish,bread,tuna,lettuce,None,toast,no,lactose,Breakfast
Tuna Sandwish,bread,tuna,lettuce,None,toast,no,egg,Breakfast
Tuna Sandwish,bread,tuna,lettuce,None,toast,no,bean/nuts,Breakfast
Salmon Sandwish,bread,salmon,lettuce,None,toast,no,None,Breakfast
Salmon Sandwish,bread,salmon,lettuce,None,toast,no,lactose,Breakfast
Salmon Sandwish,bread,salmon,lettuce,None,toast,no,egg,Breakfast
Salmon Sandwish,bread,salmon,lettuce,None,toast,no,bean/nuts,Breakfast
Turkey Sandwish,bread,turkey,lettuce,None,toast,no,None,Breakfast
Turkey Sandwish,bread,turkey,lettuce,None,toast,no,lactose,Breakfast
Turkey Sandwish,bread,turkey,lettuce,None,toast,no,egg,Breakfast
Turkey Sandwish,bread,turkey,lettuce,None,toast,no,bean/nuts,Breakfast
Turkey Sandwish,bread,turkey,lettuce,None,toast,no,seafood,Breakfast
Bacon Sandwish,bread,pork,lettuce,None,toast,no,None,Breakfast
Bacon Sandwish,bread,pork,lettuce,None,toast,no,lactose,Breakfast
Bacon Sandwish,bread,pork,lettuce,None,toast,no,egg,Breakfast
Bacon Sandwish,bread,pork,lettuce,None,toast,no,bean/nuts,Breakfast
Bacon Sandwish,bread,pork,lettuce,None,toast,no,seafood,Breakfast
Shrimp Sandwish,bread,shrimp,lettuce,None,toast,no,None,Breakfast
Shrimp Sandwish,bread,shrimp,lettuce,None,toast,no,lactose,Breakfast
Shrimp Sandwish,bread,shrimp,lettuce,None,toast,no,egg,Breakfast
Shrimp Sandwish,bread,shrimp,lettuce,None,toast,no,bean/nuts,Breakfast
Egg Sandwish,bread,egg,lettuce,None,toast,no,None,Breakfast
Egg Sandwish,bread,egg,lettuce,None,toast,no,lactose,Breakfast
Egg Sandwish,bread,egg,lettuce,None,toast,no,egg,Breakfast
Egg Sandwish,bread,egg,lettuce,None,toast,no,bean/nuts,Breakfast
Oatmeal with Apple,oats,None,None,apple,grain,yes,None,Breakfast
Oatmeal with Strawberry,oats,None,None,strawberry,grain,yes,None,Breakfast
Oatmeal with banana,oats,None,None,banana,grain,yes,None,Breakfast
Oatmeal with Blueberry,oats,None,None,blueberry,grain,yes,None,Breakfast
Oatmeal with Blackberry,oats,None,None,blackberry,grain,yes,None,Breakfast
Oatmeal with Kiwi,oats,None,None,kiwi,grain,yes,None,Breakfast
Oatmeal with Apple,oats,None,None,apple,grain,no,None,Breakfast
Oatmeal with Strawberry,oats,None,None,strawberry,grain,no,None,Breakfast
Oatmeal with banana,oats,None,None,banana,grain,no,None,Breakfast
Oatmeal with Blueberry,oats,None,None,blueberry,grain,no,None,Breakfast
Oatmeal with Blackberry,oats,None,None,blackberry,grain,no,None,Breakfast
Oatmeal with Kiwi,oats,None,None,kiwi,grain,no,None,Breakfast
Oatmeal with Apple,oats,None,None,apple,grain,yes,egg,Breakfast
Oatmeal with Strawberry,oats,None,None,strawberry,grain,yes,egg,Breakfast
Oatmeal with banana,oats,None,None,banana,grain,yes,egg,Breakfast
Oatmeal with Blueberry,oats,None,None,blueberry,grain,yes,egg,Breakfast
Oatmeal with Blackberry,oats,None,None,blackberry,grain,yes,egg,Breakfast
Oatmeal with Kiwi,oats,None,None,kiwi,grain,yes,egg,Breakfast
Oatmeal with Apple,oats,None,None,apple,grain,no,egg,Breakfast
Oatmeal with Strawberry,oats,None,None,strawberry,grain,no,egg,Breakfast
Oatmeal with banana,oats,None,None,banana,grain,no,egg,Breakfast
Oatmeal with Blueberry,oats,None,None,blueberry,grain,no,egg,Breakfast
Oatmeal with Blackberry,oats,None,None,blackberry,grain,no,egg,Breakfast
Oatmeal with Kiwi,oats,None,None,kiwi,grain,no,egg,Breakfast
Oatmeal with Apple,oats,None,None,apple,grain,yes,seafood,Breakfast
Oatmeal with Strawberry,oats,None,None,strawberry,grain,yes,seafood,Breakfast
Oatmeal with banana,oats,None,None,banana,grain,yes,seafood,Breakfast
Oatmeal with Blueberry,oats,None,None,blueberry,grain,yes,seafood,Breakfast
Oatmeal with Blackberry,oats,None,None,blackberry,grain,yes,seafood,Breakfast
Oatmeal with Kiwi,oats,None,None,kiwi,grain,yes,seafood,Breakfast
Oatmeal with Apple,oats,None,None,apple,grain,no,seafood,Breakfast
Oatmeal with Strawberry,oats,None,None,strawberry,grain,no,seafood,Breakfast
Oatmeal with banana,oats,None,None,banana,grain,no,seafood,Breakfast
Oatmeal with Blueberry,oats,None,None,blueberry,grain,no,seafood,Breakfast
Oatmeal with Blackberry,oats,None,None,blackberry,grain,no,seafood,Breakfast
Oatmeal with Kiwi,oats,None,None,kiwi,grain,no,seafood,Breakfast
Oatmeal with Apple,oats,None,None,apple,grain,yes,bean/nuts,Breakfast
Oatmeal with Strawberry,oats,None,None,strawberry,grain,yes,bean/nuts,Breakfast
Oatmeal with banana,oats,None,None,banana,grain,yes,bean/nuts,Breakfast
Oatmeal with Blueberry,oats,None,None,blueberry,grain,yes,bean/nuts,Breakfast
Oatmeal with Blackberry,oats,None,None,blackberry,grain,yes,bean/nuts,Breakfast
Oatmeal with Kiwi,oats,None,None,kiwi,grain,yes,bean/nuts,Breakfast
Oatmeal with Apple,oats,None,None,apple,grain,no,bean/nuts,Breakfast
Oatmeal with Strawberry,oats,None,None,strawberry,grain,no,bean/nuts,Breakfast
Oatmeal with banana,oats,None,None,banana,grain,no,bean/nuts,Breakfast
Oatmeal with Blueberry,oats,None,None,blueberry,grain,no,bean/nuts,Breakfast
Oatmeal with Blackberry,oats,None,None,blackberry,grain,no,bean/nuts,Breakfast
Oatmeal with Kiwi,oats,None,None,kiwi,grain,no,bean/nuts,Breakfast
Oatmeal with Apple,oats,None,None,apple,grain,yes,lactose,Breakfast
Oatmeal with Strawberry,oats,None,None,strawberry,grain,yes,lactose,Breakfast
Oatmeal with banana,oats,None,None,banana,grain,yes,lactose,Breakfast
Oatmeal with Blueberry,oats,None,None,blueberry,grain,yes,lactose,Breakfast
Oatmeal with Blackberry,oats,None,None,blackberry,grain,yes,lactose,Breakfast
Oatmeal with Kiwi,oats,None,None,kiwi,grain,yes,lactose,Breakfast
Oatmeal with Apple,oats,None,None,apple,grain,no,lactose,Breakfast
Oatmeal with Strawberry,oats,None,None,strawberry,grain,no,lactose,Breakfast
Oatmeal with banana,oats,None,None,banana,grain,no,lactose,Breakfast
Oatmeal with Blueberry,oats,None,None,blueberry,grain,no,lactose,Breakfast
Oatmeal with Blackberry,oats,None,None,blackberry,grain,no,lactose,Breakfast
Oatmeal with Kiwi,oats,None,None,kiwi,grain,no,lactose,Breakfast
Oatmeal with Avocado,oats,None,None,avocado,grain,yes,None,Breakfast
Oatmeal with Avocado,oats,None,None,avocado,grain,no,None,Breakfast
Oatmeal with Avocado,oats,None,None,avocado,grain,yes,bean/nuts,Breakfast
Oatmeal with Avocado,oats,None,None,avocado,grain,no,bean/nuts,Breakfast
Oatmeal with Avocado,oats,None,None,avocado,grain,yes,gluten,Breakfast
Oatmeal with Avocado,oats,None,None,avocado,grain,no,gluten,Breakfast
Oatmeal with Avocado,oats,None,None,avocado,grain,yes,lactose,Breakfast
Oatmeal with Avocado,oats,None,None,avocado,grain,no,lactose,Breakfast
Oatmeal with Avocado,oats,None,None,avocado,grain,yes,seafood,Breakfast
Oatmeal with Avocado,oats,None,None,avocado,grain,no,seafood,Breakfast
Scrambled Eggs with spinach,None,egg,spinach,None,egg,no,gluten,Breakfast
Scrambled Eggs with Corn,None,egg,corn,None,egg,no,gluten,Breakfast
Scrambled Eggs with tomato,None,egg,broccoli,None,egg,no,gluten,Breakfast
Scrambled Eggs with peas,None,egg,tomato,None,egg,no,gluten,Breakfast
Scrambled Eggs with spinach,None,egg,spinach,None,egg,no,None,Breakfast
Scrambled Eggs with Corn,None,egg,corn,None,egg,no,None,Breakfast
Scrambled Eggs with tomato,None,egg,broccoli,None,egg,no,None,Breakfast
Scrambled Eggs with peas,None,egg,tomato,None,egg,no,None,Breakfast
Scrambled Eggs with spinach,None,egg,spinach,None,egg,no,lactose,Breakfast
Scrambled Eggs with Corn,None,egg,corn,None,egg,no,lactose,Breakfast
Scrambled Eggs with tomato,None,egg,broccoli,None,egg,no,lactose,Breakfast
Scrambled Eggs with peas,None,egg,tomato,None,egg,no,lactose,Breakfast
Scrambled Eggs with spinach,None,egg,spinach,None,egg,no,seafood,Breakfast
Scrambled Eggs with Corn,None,egg,corn,None,egg,no,seafood,Breakfast
Scrambled Eggs with tomato,None,egg,broccoli,None,egg,no,seafood,Breakfast
Scrambled Eggs with peas,None,egg,tomato,None,egg,no,seafood,Breakfast
Scrambled Eggs with spinach,None,egg,spinach,None,egg,no,bean/nuts,Breakfast
Scrambled Eggs with Corn,None,egg,corn,None,egg,no,bean/nuts,Breakfast
Scrambled Eggs with tomato,None,egg,broccoli,None,egg,no,bean/nuts,Breakfast
Scrambled Eggs with tomato,None,egg,tomato,None,egg,no,bean/nuts,Breakfast
Omelette with chicken and spinach,None,egg,spinach,None,egg,no,None,Breakfast
Omelette with pork and corn,None,egg,corn,None,egg,no,None,Breakfast
Omelette with beef and tomato,None,egg,tomato,None,egg,no,None,Breakfast
Omelette with turkey and carrot,None,egg,carrot,None,egg,no,None,Breakfast
Omelette with carrot and tomato,None,egg,tomato,None,egg,no,None,Breakfast
Omelette with broccoli and mushroom,None,egg,mushroom,None,egg,no,None,Breakfast
Omelette with carrot and tomato,None,egg,carrot,None,egg,no,None,Breakfast
Omelette with broccoli and mushroom,None,egg,broccoli,None,egg,no,None,Breakfast
Omelette with chicken and spinach,None,egg,spinach,None,egg,no,bean/nuts,Breakfast
Omelette with pork and corn,None,egg,corn,None,egg,no,bean/nuts,Breakfast
Omelette with beef and tomato,None,egg,tomato,None,egg,no,bean/nuts,Breakfast
Omelette with turkey and carrot,None,egg,carrot,None,egg,no,bean/nuts,Breakfast
Omelette with carrot and tomato,None,egg,tomato,None,egg,no,bean/nuts,Breakfast
Omelette with broccoli and mushroom,None,egg,mushroom,None,egg,no,bean/nuts,Breakfast
Omelette with carrot and tomato,None,egg,carrot,None,egg,no,bean/nuts,Breakfast
Omelette with broccoli and mushroom,None,egg,broccoli,None,egg,no,bean/nuts,Breakfast
Omelette with chicken and spinach,None,egg,spinach,None,egg,no,gluten,Breakfast
Omelette with pork and corn,None,egg,corn,None,egg,no,gluten,Breakfast
Omelette with beef and tomato,None,egg,tomato,None,egg,no,gluten,Breakfast
Omelette with turkey and carrot,None,egg,carrot,None,egg,no,gluten,Breakfast
Omelette with carrot and tomato,None,egg,tomato,None,egg,no,gluten,Breakfast
Omelette with broccoli and mushroom,None,egg,mushroom,None,egg,no,gluten,Breakfast
Omelette with carrot and tomato,None,egg,carrot,None,egg,no,gluten,Breakfast
Omelette with broccoli and mushroom,None,egg,broccoli,None,egg,no,gluten,Breakfast
Omelette with chicken and spinach,None,egg,spinach,None,egg,no,lactose,Breakfast
Omelette with pork and corn,None,egg,corn,None,egg,no,lactose,Breakfast
Omelette with beef and tomato,None,egg,tomato,None,egg,no,lactose,Breakfast
Omelette with turkey and carrot,None,egg,carrot,None,egg,no,lactose,Breakfast
Omelette with carrot and tomato,None,egg,tomato,None,egg,no,lactose,Breakfast
Omelette with broccoli and mushroom,None,egg,mushroom,None,egg,no,lactose,Breakfast
Omelette with carrot and tomato,None,egg,carrot,None,egg,no,lactose,Breakfast
Omelette with broccoli and mushroom,None,egg,broccoli,None,egg,no,lactose,Breakfast
Omelette with chicken and spinach,None,egg,spinach,None,egg,no,seafood,Breakfast
Omelette with pork and corn,None,egg,corn,None,egg,no,seafood,Breakfast
Omelette with beef and tomato,None,egg,tomato,None,egg,no,seafood,Breakfast
Omelette with turkey and carrot,None,egg,carrot,None,egg,no,seafood,Breakfast
Omelette with carrot and tomato,None,egg,tomato,None,egg,no,seafood,Breakfast
Omelette with broccoli and mushroom,None,egg,mushroom,None,egg,no,seafood,Breakfast
Omelette with carrot and tomato,None,egg,carrot,None,egg,no,seafood,Breakfast
Omelette with broccoli and mushroom,None,egg,broccoli,None,egg,no,seafood,Breakfast
Omelette with chicken and spinach,None,chicken,spinach,None,egg,no,None,Breakfast
Omelette with pork and corn,None,pork,corn,None,egg,no,None,Breakfast
Omelette with beef and tomato,None,beef,tomato,None,egg,no,None,Breakfast
Omelette with turkey and carrot,None,turkey,carrot,None,egg,no,None,Breakfast
Omelette with chicken and spinach,None,chicken,spinach,None,egg,no,seafood,Breakfast
Omelette with pork and corn,None,pork,corn,None,egg,no,seafood,Breakfast
Omelette with beef and tomato,None,beef,tomato,None,egg,no,seafood,Breakfast
Omelette with turkey and carrot,None,turkey,carrot,None,egg,no,seafood,Breakfast
Omelette with chicken and spinach,None,chicken,spinach,None,egg,no,gluten,Breakfast
Omelette with pork and corn,None,pork,corn,None,egg,no,gluten,Breakfast
Omelette with beef and tomato,None,beef,tomato,None,egg,no,gluten,Breakfast
Omelette with turkey and carrot,None,turkey,carrot,None,egg,no,gluten,Breakfast
Omelette with chicken and spinach,None,chicken,spinach,None,egg,no,lactose,Breakfast
Omelette with pork and corn,None,pork,corn,None,egg,no,lactose,Breakfast
Omelette with beef and tomato,None,beef,tomato,None,egg,no,lactose,Breakfast
Omelette with turkey and carrot,None,turkey,carrot,None,egg,no,lactose,Breakfast
Omelette with chicken and spinach,None,chicken,spinach,None,egg,no,bean/nuts,Breakfast
Omelette with pork and corn,None,pork,corn,None,egg,no,bean/nuts,Breakfast
Omelette with beef and tomato,None,beef,tomato,None,egg,no,bean/nuts,Breakfast
Omelette with turkey and carrot,None,turkey,carrot,None,egg,no,bean/nuts,Breakfast
Vege Taco,corn tortilla,None,spinach,None,wrap,yes,None,Breakfast
Vege Taco,corn tortilla,None,spinach,None,wrap,no,None,Breakfast
Vege Taco,corn tortilla,None,tomato,None,wrap,yes,None,Breakfast
Vege Taco,corn tortilla,None,tomato,None,wrap,no,None,Breakfast
Vege Taco,corn tortilla,None,lettuce,None,wrap,yes,None,Breakfast
Vege Taco,corn tortilla,None,lettuce,None,wrap,no,None,Breakfast
Vege Taco,corn tortilla,None,spinach,None,wrap,yes,seafood,Breakfast
Vege Taco,corn tortilla,None,spinach,None,wrap,no,seafood,Breakfast
Vege Taco,corn tortilla,None,tomato,None,wrap,yes,seafood,Breakfast
Vege Taco,corn tortilla,None,tomato,None,wrap,no,seafood,Breakfast
Vege Taco,corn tortilla,None,lettuce,None,wrap,yes,seafood,Breakfast
Vege Taco,corn tortilla,None,lettuce,None,wrap,no,seafood,Breakfast
Vege Taco,corn tortilla,None,spinach,None,wrap,yes,bean/nuts,Breakfast
Vege Taco,corn tortilla,None,spinach,None,wrap,no,bean/nuts,Breakfast
Vege Taco,corn tortilla,None,tomato,None,wrap,yes,bean/nuts,Breakfast
Vege Taco,corn tortilla,None,tomato,None,wrap,no,bean/nuts,Breakfast
Vege Taco,corn tortilla,None,lettuce,None,wrap,yes,bean/nuts,Breakfast
